AP18_Rnk,PS18_Rnk,KP18_Rank,TeamID,TS18_Team,KP18_Conference,TS18_GP,STA18_W,STA18_L,STA18_Pct,STA18_Strk,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,STA18_Conf_PF,STA18_Conf_PA,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PF,STA18_PA,STA18_PPG,STA18_PAPG,TS18_FGM,TS18_FGA,TS18_FG%,TS18_3PM,TS18_3PA,TS18_3P%,TS18_FTM,TS18_FTA,TS18_FT%,KP18_Ajusted Efficiency Margin,KP18_Adjusted Offensive Efficiency,KP18_AOE Rk,KP18_Adjusted Defensive Efficiency,KP18_ADE Rk,KP18_Adjusted Tempo,KP18_AT Rk,KP18_Luck,KP18_Luck Rk,KP18_Strength of Schedule,KP18_SOS Rk,KP18_Non-Conference Strength of Schedule,KP18_NCSOS Rk,KP18_Average Opponents Offensive Efficiency,KP18_AOOE Rk,KP18_Average Opponents Defensive Efficiency,KP18_AODE Rk
,,76,168.0,Vermont,AE,34,27,8,0.7709999999999999,L2,15,1,0.938,12,2,12,5,3,1,0,1,1178,962,73.625,60.125,2587,2277,73.91428571428571,65.05714285714286,852,1744,0.489,258,637,0.405,561,745,0.753,10.22,113.8,48,103.5,148,64.1,339,-0.009000000000000001,202,-2.97,227,4.54,47,102.5,276,105.4,161
,,166,162.0,UMBC,AE,34,25,11,0.6940000000000001,L1,12,4,0.75,15,2,9,7,1,2,1,1,1096,1060,68.5,66.25,2630,2466,73.05555555555556,68.5,886,1993,0.445,346,894,0.387,395,609,0.649,0.5,103.1,206,102.6,124,68.4,170,0.125,2,-4.38,269,-3.55,277,102.7,267,107.1,259
,,151,164.0,Albany,AE,32,22,10,0.688,L1,10,6,0.625,14,3,8,7,0,0,0,0,1143,1049,71.4375,65.5625,2375,2182,74.21875,68.1875,839,1836,0.457,184,502,0.3670000000000001,513,680,0.754,1.71,107.1,134,105.4,180,66.2,272,0.006999999999999999,157,-6.49,306,-5.2,307,101.4,307,107.9,300
,,287,52.0,UMass Lowell,AE,30,12,18,0.4,L1,6,10,0.375,9,7,3,11,0,0,0,0,1202,1254,75.125,78.375,2286,2356,76.2,78.53333333333333,791,1719,0.46,215,621,0.34600000000000003,489,690,0.7090000000000001,-11.0,103.6,194,114.6,329,71.6,36,0.002,171,-6.84,314,-9.71,343,100.8,326,107.6,281
,,215,221.0,Hartford,AE,32,19,14,0.5760000000000001,L2,11,5,0.688,9,7,9,6,1,1,0,0,1122,1058,70.125,66.125,2326,2318,70.48484848484848,70.24242424242425,809,1784,0.453,261,763,0.342,375,555,0.6759999999999999,-4.89,102.9,213,107.8,231,66.5,257,0.065,41,-6.02,298,-6.72,327,101.2,315,107.2,266
,,223,67.0,Stony Brook,AE,32,13,19,0.406,L1,7,9,0.438,7,7,6,11,0,1,0,1,1043,1067,65.1875,66.6875,2205,2249,68.90625,70.28125,779,1866,0.417,249,757,0.329,398,606,0.657,-5.33,96.8,311,102.1,114,68.4,171,0.009000000000000001,150,-2.17,198,1.11,131,104.2,184,106.4,216
,,297,214.0,Binghamton,AE,31,11,20,0.355,L4,2,14,0.125,7,7,3,12,1,1,0,0,1034,1163,64.625,72.6875,2147,2181,69.25806451612904,70.35483870967742,787,1775,0.443,235,671,0.35,338,528,0.64,-11.93,97.4,307,109.4,262,66.1,280,-0.061,316,-6.88,315,-8.65,339,101.0,319,107.9,299
,,332,300.0,Maine,AE,32,6,26,0.188,L7,3,13,0.188,4,8,2,16,0,2,0,0,1094,1243,68.375,77.6875,2140,2408,66.875,75.25,765,1873,0.408,225,745,0.302,385,559,0.6890000000000001,-17.46,90.9,342,108.4,239,71.3,41,-0.002,181,-2.82,220,-1.56,200,103.5,223,106.3,210
,,278,277.0,New Hampshire,AE,31,10,21,0.32299999999999995,L6,6,10,0.375,8,7,2,12,0,2,0,1,1030,1086,64.375,67.875,2103,2085,67.83870967741936,67.25806451612904,725,1803,0.402,252,776,0.325,401,544,0.737,-10.35,98.2,297,108.5,244,65.4,313,-0.069,327,-4.86,283,-4.07,288,102.4,280,107.2,269
16.0,7.0,21,148.0,Wichita State,Amer,32,25,8,0.758,L2,14,4,0.778,13,3,9,2,3,3,2,3,1464,1275,81.33333333333333,70.83333333333333,2731,2364,82.75757575757575,71.63636363636364,930,1944,0.478,292,758,0.385,504,683,0.738,19.03,121.0,4,101.9,111,68.6,162,-0.026,254,5.13,73,1.55,114,107.3,79,102.2,70
